prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
0.0,4.4399999999999995,274.47,-6.93,-23.9,139.85999999999999,0.4734307116104869,68.66109,-149.37047000000004,832.0,836.0,378.00999999999993,-14.44142857142857,2004.0,322.0
0.0,0.22,274.47,-6.8,-23.76,155.62714285714287,0.4706516853932584,68.66109,-149.37047000000004,832.0,836.0,378.00999999999993,-15.0,2004.0,329.0
5.640000000000001,0.0,308.97,-9.39,-24.36,120.62714285714287,0.46787265917603,68.66109,-149.37047000000004,832.0,836.0,378.1928571428571,-17.167857142857144,2004.0,336.0
0.0,0.0,313.95000000000005,-21.82,-33.1,50.18428571428571,0.4650936329588015,68.66109,-149.37047000000004,832.0,836.0,378.33,-26.559285714285714,2004.0,343.0
0.0,0.0,313.95000000000005,-13.57,-33.06,66.16428571428571,0.462314606741573,68.66109,-149.37047000000004,832.0,836.0,378.33,-23.35714285714286,2004.0,350.0
18.04,0.0,367.34,-12.07,-37.88,63.48,0.4595355805243445,68.66109,-149.37047000000004,832.0,836.0,378.33,-22.669285714285717,2004.0,357.0
5.99,0.0,399.03000000000003,-5.65,-28.33,120.21857142857142,0.4567565543071161,68.66109,-149.37047000000004,832.0,836.0,378.31857142857143,-17.507142857142856,2004.2857142857142,259.7142857142857
17.419999999999998,0.0,262.76,-1.1,-29.09,166.4457142857143,0.4539775280898876,68.66109,-149.37047000000004,832.0,836.0,378.29,-13.259285714285713,2005.0,6.0
0.0,0.08,312.96999999999997,-26.39,-37.12,28.41,0.4511985018726592,68.66109,-149.37047000000004,832.0,836.0,378.29,-32.59642857142857,2005.0,13.0
0.0,2.17,312.96999999999997,-14.98,-33.62,71.53999999999999,0.4484194756554307,68.66109,-149.37047000000004,832.0,836.0,378.29,-23.268571428571427,2005.0,20.0
0.0,16.05,312.96999999999997,-16.54,-30.51,69.88428571428572,0.4456404494382022,68.66109,-149.37047000000004,832.0,836.0,378.29,-23.455000000000002,2005.0,27.0
0.0,67.67,312.96999999999997,-21.72,-35.82,35.14,0.4428614232209737,68.66109,-149.37047000000004,832.0,836.0,378.7957142857144,-29.39785714285714,2005.0,34.0
6.13,145.55,352.86,-14.36,-31.62,78.66428571428571,0.4400823970037453,68.66109,-149.37047000000004,832.0,836.0,378.88000000000005,-21.902142857142856,2005.0,41.0
0.0,281.28999999999996,355.88,-9.18,-23.55,113.32428571428571,0.4373033707865169,68.66109,-149.37047000000004,832.0,836.0,378.88000000000005,-16.970714285714287,2005.0,48.0
0.0,436.94000000000005,355.88,-16.02,-26.38,79.36,0.4345243445692884,68.66109,-149.37047000000004,832.0,836.0,378.88000000000005,-21.22,2005.0,55.0
0.0,668.61,355.88,-12.34,-32.21,57.470000000000006,0.4317453183520599,68.66109,-149.37047000000004,832.0,836.0,378.6485714285715,-24.037857142857142,2005.0,62.0
8.93,824.21,372.42999999999995,-3.02,-25.49,143.12857142857143,0.4289662921348315,68.66109,-149.37047000000004,832.0,836.0,378.61000000000007,-14.109285714285715,2005.0,69.0
0.0,1059.45,418.39,-5.49,-23.68,141.13285714285712,0.426187265917603,68.66109,-149.37047000000004,832.0,836.0,378.61000000000007,-14.114285714285714,2005.0,76.0
0.0,1242.51,418.39,-7.67,-22.92,126.99857142857141,0.4234082397003745,68.66109,-149.37047000000004,832.0,836.0,378.61000000000007,-15.270714285714282,2005.0,83.0
0.0,1529.79,418.39,-12.5,-26.78,86.46142857142857,0.4206292134831461,68.66109,-149.37047000000004,832.0,836.0,378.93571428571425,-18.825714285714287,2005.0,90.0
0.0,1743.78,418.39,-2.31,-22.94,102.50285714285714,0.4178501872659176,68.66109,-149.37047000000004,832.0,836.0,379.36999999999995,-12.094285714285714,2005.0,97.0
0.0,1889.54,418.39,-5.32,-19.87,76.6857142857143,0.4150711610486891,68.66109,-149.37047000000004,832.0,836.0,379.36999999999995,-13.152857142857144,2005.0,104.0
4.84,1999.2600000000002,432.91,4.54,-21.28,87.65285714285714,0.4122921348314607,68.66109,-149.37047000000004,832.0,836.0,379.36999999999995,-8.759285714285715,2005.0,111.0
0.0,2126.0899999999997,445.97999999999996,7.41,-9.9,133.79857142857142,0.4095131086142322,68.66109,-149.37047000000004,832.0,836.0,379.31285714285707,-0.16857142857142862,2005.0,118.0
0.0,2062.86,428.64,6.51,-9.01,132.2642857142857,0.4067340823970037,68.66109,-149.37047000000004,832.0,836.0,378.96999999999997,-0.9942857142857141,2005.0,125.0
5.08,1859.6100000000001,381.53000000000003,8.77,-4.17,179.99428571428572,0.4039550561797753,68.66109,-149.37047000000004,832.0,836.0,378.96999999999997,2.2078571428571427,2005.0,132.0
6.38,1582.74,279.81,8.14,-3.16,217.9114285714286,0.4011760299625468,68.66109,-149.37047000000004,832.0,836.0,378.96999999999997,3.3364285714285713,2005.0,139.0
0.0,2011.57,142.5,11.95,-0.69,241.92857142857142,0.488,68.66109,-149.37047000000004,832.0,836.0,378.96999999999997,5.971428571428571,2005.0,146.0
5.15,1619.2,7.55,11.16,-1.09,254.25857142857146,0.483,68.66109,-149.37047000000004,832.0,836.0,379.42714285714294,4.800714285714286,2005.0,153.0
0.0,2024.84,0.0,15.85,1.72,296.25,0.511,68.66109,-149.37047000000004,832.0,836.0,379.61000000000007,9.146428571428572,2005.0,160.0
5.4,2059.12,0.0,18.42,1.52,305.9685714285714,0.619,68.66109,-149.37047000000004,832.0,836.0,379.61000000000007,10.171428571428569,2005.0,167.0
0.0,2146.65,0.0,19.75,-0.91,257.5657142857143,0.628,68.66109,-149.37047000000004,832.0,836.0,379.61000000000007,8.401428571428571,2005.0,174.0
12.05,1654.05,0.0,22.17,0.94,356.1985714285714,0.6008,68.66109,-149.37047000000004,832.0,836.0,379.72571428571433,10.712857142857144,2005.0,181.0
22.84,1461.15,0.0,12.93,-0.18,387.93142857142857,0.6401666666666667,68.66109,-149.37047000000004,832.0,836.0,379.88000000000005,6.853571428571429,2005.0,188.0
24.67,1485.5800000000002,0.0,19.37,2.25,652.6485714285715,0.64425,68.66109,-149.37047000000004,832.0,836.0,379.88000000000005,8.782857142857143,2005.0,195.0
0.0,1929.9499999999998,0.0,18.32,3.16,601.2742857142857,0.646,68.66109,-149.37047000000004,832.0,836.0,379.88000000000005,10.36,2005.0,202.0
0.0,1920.48,0.0,17.86,-0.34,581.7742857142857,0.629,68.66109,-149.37047000000004,832.0,836.0,379.88000000000005,8.757142857142856,2005.0,209.0
0.0,1895.4299999999998,0.0,18.4,2.49,635.2299999999999,0.605,68.66109,-149.37047000000004,832.0,836.0,380.13999999999993,9.937857142857142,2005.0,216.0
0.0,1744.1899999999998,0.0,21.19,5.18,778.5628571428572,0.543,68.66109,-149.37047000000004,832.0,836.0,380.13999999999993,12.517142857142858,2005.0,223.0
0.0,1677.56,0.0,15.8,-2.82,575.8399999999999,0.547,68.66109,-149.37047000000004,832.0,836.0,380.13999999999993,7.0214285714285705,2005.0,230.0
17.490000000000002,923.79,0.0,14.52,0.88,727.1857142857143,0.5105000000000001,68.66109,-149.37047000000004,832.0,836.0,380.13999999999993,5.872142857142856,2005.0,237.0
2.57,987.1899999999999,0.0,8.33,-3.78,529.53,0.4712,68.66109,-149.37047000000004,832.0,836.0,379.92857142857144,1.1157142857142857,2005.0,244.0
4.8,1052.21,0.0,8.64,-1.91,582.1800000000001,0.4026363636363636,68.66109,-149.37047000000004,832.0,836.0,379.77,2.729285714285715,2005.0,251.0
6.409999999999999,670.4000000000001,0.0,8.78,1.06,703.13,0.3154545454545454,68.66109,-149.37047000000004,832.0,836.0,379.77,4.14,2005.0,258.0
13.15,641.1,0.0,3.43,-4.9,547.2128571428572,0.2292,68.66109,-149.37047000000004,832.0,836.0,379.77,0.5135714285714286,2005.0,265.0
0.0,777.68,0.0,0.14,-10.2,319.98142857142864,0.2098148148148148,68.66109,-149.37047000000004,832.0,836.0,379.91285714285715,-5.242857142857143,2005.0,272.0
0.0,694.2599999999999,0.0,-0.82,-18.18,266.6228571428571,0.2127818930041152,68.66109,-149.37047000000004,832.0,836.0,380.27,-7.1192857142857155,2005.0,279.0
2.62,451.93000000000006,13.100000000000001,-5.27,-17.79,219.05714285714285,0.2157489711934156,68.66109,-149.37047000000004,832.0,836.0,380.27,-10.295714285714284,2005.0,286.0
6.24,309.09000000000003,53.44,-1.52,-17.06,278.7442857142857,0.218716049382716,68.66109,-149.37047000000004,832.0,836.0,380.27,-7.032857142857141,2005.0,293.0
0.0,131.2,62.019999999999996,-4.68,-20.63,202.62428571428572,0.2216831275720164,68.66109,-149.37047000000004,832.0,836.0,380.27,-12.95857142857143,2005.0,300.0
0.0,98.30000000000001,62.019999999999996,-16.81,-32.12,70.38857142857144,0.2246502057613169,68.66109,-149.37047000000004,832.0,836.0,380.45,-23.46642857142857,2005.0,307.0
0.0,36.79,62.019999999999996,-13.93,-31.14,79.34,0.2276172839506173,68.66109,-149.37047000000004,832.0,836.0,380.48,-21.110000000000003,2005.0,314.0
0.0,6.8100000000000005,62.019999999999996,-16.99,-31.45,54.21142857142858,0.2305843621399177,68.66109,-149.37047000000004,832.0,836.0,380.48,-25.554285714285715,2005.0,321.0
7.5600000000000005,0.74,88.82,-15.03,-31.24,72.53857142857143,0.2335514403292181,68.66109,-149.37047000000004,832.0,836.0,380.48,-22.547142857142855,2005.0,328.0
0.0,0.0,114.86999999999999,-15.72,-34.2,60.387142857142855,0.2365185185185185,68.66109,-149.37047000000004,832.0,836.0,380.6914285714285,-24.763571428571428,2005.0,335.0
9.6,0.0,149.61,-3.26,-35.29,137.6942857142857,0.2394855967078189,68.66109,-149.37047000000004,832.0,836.0,380.84999999999997,-16.932142857142857,2005.0,342.0
0.0,0.0,182.07,-6.57,-25.86,134.67285714285714,0.2424526748971193,68.66109,-149.37047000000004,832.0,836.0,380.84999999999997,-16.291428571428572,2005.0,349.0
1.27,0.0,185.91,-10.68,-21.32,142.3642857142857,0.2454197530864197,68.66109,-149.37047000000004,832.0,836.0,380.84999999999997,-16.00857142857143,2005.0,356.0
0.0,0.0,167.01999999999998,-12.01,-20.63,138.9257142857143,0.2483868312757201,68.66109,-149.37047000000004,832.0,836.0,380.9171428571429,-16.432142857142857,2005.142857142857,310.85714285714283
0.0,0.0,22.96,-16.73,-27.73,83.67285714285715,0.2513539094650205,68.66109,-149.37047000000004,832.0,836.0,381.32000000000005,-22.204285714285714,2006.0,5.0
0.0,0.02,22.96,-17.55,-29.01,70.00428571428571,0.254320987654321,68.66109,-149.37047000000004,832.0,836.0,381.32000000000005,-24.09142857142857,2006.0,12.0
0.0,2.05,22.96,-22.23,-39.85,37.36,0.2572880658436214,68.66109,-149.37047000000004,832.0,836.0,381.32000000000005,-30.16571428571428,2006.0,19.0
0.0,13.01,22.96,-23.45,-37.78,35.892857142857146,0.2602551440329218,68.66109,-149.37047000000004,832.0,836.0,381.32000000000005,-30.384285714285713,2006.0,26.0
6.3,57.949999999999996,39.099999999999994,-15.46,-38.71,30.60571428571429,0.2632222222222222,68.66109,-149.37047000000004,832.0,836.0,381.29857142857145,-29.97714285714286,2006.0,33.0
5.52,133.82,87.57000000000001,-4.48,-23.91,148.96285714285713,0.2661893004115226,68.66109,-149.37047000000004,832.0,836.0,381.29,-13.58785714285714,2006.0,40.0
4.8,216.99,110.44,-0.66,-15.3,256.36285714285714,0.269156378600823,68.66109,-149.37047000000004,832.0,836.0,381.29,-7.590714285714284,2006.0,47.0
11.229999999999999,359.27,211.04000000000002,-9.84,-31.19,83.40714285714284,0.2721234567901234,68.66109,-149.37047000000004,832.0,836.0,381.29,-22.300000000000004,2006.0,54.0
0.0,636.02,217.84,-13.3,-35.98,58.48,0.2750905349794239,68.66109,-149.37047000000004,832.0,836.0,381.14,-24.405714285714286,2006.0,61.0
0.0,838.8,217.84,-15.46,-35.51,51.52857142857143,0.2780576131687243,68.66109,-149.37047000000004,832.0,836.0,381.08,-25.70357142857143,2006.0,68.0
0.0,1138.3,217.84,-15.27,-30.55,58.550000000000004,0.2810246913580247,68.66109,-149.37047000000004,832.0,836.0,381.08,-22.75714285714286,2006.0,75.0
0.0,1120.6100000000001,217.84,-12.75,-26.8,96.60857142857142,0.2839917695473251,68.66109,-149.37047000000004,832.0,836.0,381.08,-18.655714285714286,2006.0,82.0
2.47,1488.4,220.31,-6.1,-31.14,80.59000000000002,0.2869588477366255,68.66109,-149.37047000000004,832.0,836.0,381.25142857142856,-19.65071428571429,2006.0,89.0
0.0,1655.2500000000002,235.13000000000002,-7.86,-27.17,87.02428571428572,0.2899259259259259,68.66109,-149.37047000000004,832.0,836.0,381.67999999999995,-18.154285714285713,2006.0,96.0
3.15,1569.92,254.03000000000006,-6.34,-23.25,121.90857142857145,0.2928930041152263,68.66109,-149.37047000000004,832.0,836.0,381.67999999999995,-14.99,2006.0,103.0
0.0,1950.21,257.18,-4.64,-23.09,109.07285714285715,0.2958600823045267,68.66109,-149.37047000000004,832.0,836.0,381.67999999999995,-13.62,2006.0,110.0
0.0,1663.02,257.18,-1.38,-16.87,166.44857142857146,0.2988271604938272,68.66109,-149.37047000000004,832.0,836.0,381.67999999999995,-9.637142857142857,2006.0,117.0
0.0,2250.59,257.18,4.04,-14.9,114.5842857142857,0.3017942386831276,68.66109,-149.37047000000004,832.0,836.0,381.65000000000003,-4.507857142857143,2006.0,124.0
0.0,2174.51,237.59,9.34,-5.11,160.9542857142857,0.3047613168724279,68.66109,-149.37047000000004,832.0,836.0,381.65000000000003,1.3635714285714289,2006.0,131.0
2.48,1987.6499999999996,159.95999999999998,9.24,-3.4,189.29714285714286,0.3077283950617284,68.66109,-149.37047000000004,832.0,836.0,381.65000000000003,3.1000000000000005,2006.0,138.0
3.08,1700.67,46.730000000000004,11.84,-1.89,237.71,0.3856666666666666,68.66109,-149.37047000000004,832.0,836.0,381.65000000000003,4.907857142857144,2006.0,145.0
5.97,1546.45,0.0,10.25,-8.12,207.71,0.424,68.66109,-149.37047000000004,832.0,836.0,381.59285714285716,1.3714285714285712,2006.0,152.0
21.94,1542.3799999999999,0.0,17.01,-2.8,294.9785714285714,0.3672,68.66109,-149.37047000000004,832.0,836.0,381.55000000000007,6.567142857142858,2006.0,159.0
6.64,1512.48,0.0,15.51,4.57,435.13999999999993,0.407,68.66109,-149.37047000000004,832.0,836.0,381.55000000000007,9.308571428571428,2006.0,166.0
10.41,1848.19,0.0,18.11,4.2,414.0314285714286,0.542,68.66109,-149.37047000000004,832.0,836.0,381.55000000000007,10.802142857142856,2006.0,173.0
31.38,1320.9199999999998,0.0,16.94,3.55,665.5699999999999,0.61,68.66109,-149.37047000000004,832.0,836.0,381.5357142857143,9.393571428571429,2006.0,180.0
11.469999999999999,1572.48,0.0,15.01,1.34,638.8199999999999,0.619,68.66109,-149.37047000000004,832.0,836.0,381.5,7.534285714285714,2006.0,187.0
26.240000000000002,1390.6399999999999,0.0,16.34,5.36,810.3657142857144,0.5008571428571429,68.66109,-149.37047000000004,832.0,836.0,381.5,9.688571428571427,2006.0,194.0
25.54,1165.4099999999999,0.0,14.21,4.68,922.2957142857142,0.5417000000000001,68.66109,-149.37047000000004,832.0,836.0,381.5,8.999285714285714,2006.0,201.0
10.76,1853.42,0.0,22.49,5.53,983.197142857143,0.618,68.66109,-149.37047000000004,832.0,836.0,381.5,12.68857142857143,2006.0,208.0
24.919999999999998,1527.04,0.0,16.15,3.57,854.6657142857142,0.5028,68.66109,-149.37047000000004,832.0,836.0,381.88571428571424,9.021428571428572,2006.0,215.0
22.86,1424.54,0.0,15.49,0.8,778.78,0.5482,68.66109,-149.37047000000004,832.0,836.0,381.94999999999993,7.492857142857143,2006.0,222.0
16.37,1161.45,0.0,13.43,-0.81,696.4657142857143,0.557,68.66109,-149.37047000000004,832.0,836.0,381.94999999999993,5.179999999999999,2006.0,229.0
7.799999999999999,1309.7500000000002,0.0,10.38,-1.23,638.1785714285714,0.5036923076923078,68.66109,-149.37047000000004,832.0,836.0,381.94999999999993,4.263571428571429,2006.0,236.0
0.0,1403.57,0.0,14.21,-1.86,617.24,0.491,68.66109,-149.37047000000004,832.0,836.0,382.0442857142857,4.489285714285714,2006.0,243.0
0.0,1427.75,0.0,15.29,-0.14,683.3314285714285,0.434,68.66109,-149.37047000000004,832.0,836.0,382.17,7.073571428571427,2006.0,250.0
0.0,1041.2800000000002,0.0,12.81,0.92,773.1428571428571,0.348,68.66109,-149.37047000000004,832.0,836.0,382.17,7.122857142857144,2006.0,257.0
7.18,466.66,0.0,7.7,-0.97,645.2585714285715,0.2255,68.66109,-149.37047000000004,832.0,836.0,382.17,2.596428571428571,2006.0,264.0
4.67,595.58,0.0,5.28,-4.45,505.6114285714287,0.228,68.66109,-149.37047000000004,832.0,836.0,382.22285714285715,0.24714285714285714,2006.0,271.0
11.18,431.6700000000001,0.0,1.81,-5.43,451.7571428571428,0.1684285714285714,68.66109,-149.37047000000004,832.0,836.0,382.54,-1.715,2006.0,278.0
18.27,380.47,0.0,3.03,-12.29,374.21285714285716,0.0989285714285714,68.66109,-149.37047000000004,832.0,836.0,382.54,-4.435714285714285,2006.0,285.0
0.0,304.85,0.0,-0.09,-10.69,329.86857142857144,0.1049136363636363,68.66109,-149.37047000000004,832.0,836.0,382.54,-5.312857142857142,2006.0,292.0
3.2800000000000002,170.79000000000002,12.58,-6.47,-16.64,212.78285714285713,0.1113090909090909,68.66109,-149.37047000000004,832.0,836.0,382.54,-11.391428571428573,2006.0,299.0
0.0,91.7,22.96,-6.65,-15.9,196.3642857142857,0.1177045454545454,68.66109,-149.37047000000004,832.0,836.0,382.3828571428572,-12.112857142857143,2006.0,306.0
0.0,36.449999999999996,22.96,-10.19,-27.9,103.82428571428572,0.1241,68.66109,-149.37047000000004,832.0,836.0,382.32000000000005,-19.020714285714288,2006.0,313.0
0.0,9.52,22.96,-15.34,-28.79,66.54428571428572,0.1304954545454545,68.66109,-149.37047000000004,832.0,836.0,382.32000000000005,-22.391428571428573,2006.0,320.0
0.0,1.08,22.96,-17.12,-31.57,69.32142857142858,0.1368909090909091,68.66109,-149.37047000000004,832.0,836.0,382.32000000000005,-22.997142857142858,2006.0,327.0
0.0,0.0,22.96,-7.62,-22.49,157.59142857142857,0.1432863636363636,68.66109,-149.37047000000004,832.0,836.0,382.41857142857145,-13.709999999999999,2006.0,334.0
0.0,0.0,22.96,-8.23,-19.84,166.7442857142857,0.1496818181818182,68.66109,-149.37047000000004,832.0,836.0,382.55000000000007,-13.87857142857143,2006.0,341.0
0.0,0.0,22.96,-14.16,-27.54,86.68571428571428,0.1560772727272727,68.66109,-149.37047000000004,832.0,836.0,382.55000000000007,-21.02642857142857,2006.0,348.0
0.0,0.0,22.96,-11.73,-30.3,66.44857142857143,0.1624727272727272,68.66109,-149.37047000000004,832.0,836.0,382.55000000000007,-22.93857142857143,2006.0,355.0
0.0,0.0,22.96,-20.9,-36.17,46.174285714285716,0.1688681818181818,68.66109,-149.37047000000004,832.0,836.0,382.55000000000007,-27.20357142857143,2006.0,362.0
0.0,0.0,125.78999999999999,-24.8,-37.46,32.04,0.1752636363636363,68.66109,-149.37047000000004,832.0,836.0,382.54,-31.563571428571425,2007.0,4.0
0.0,0.0,125.78999999999999,-16.01,-37.36,75.9342857142857,0.1816590909090909,68.66109,-149.37047000000004,832.0,836.0,382.54,-23.285,2007.0,11.0
0.0,1.06,125.78999999999999,-11.82,-28.56,93.09857142857142,0.1880545454545454,68.66109,-149.37047000000004,832.0,836.0,382.54,-19.73071428571429,2007.0,18.0
0.0,9.05,125.78999999999999,-7.83,-29.66,103.10714285714286,0.19445,68.66109,-149.37047000000004,832.0,836.0,382.54,-19.365714285714287,2007.0,25.0
2.62,37.78,141.51000000000002,-2.29,-13.88,248.47571428571428,0.2008454545454545,68.66109,-149.37047000000004,832.0,836.0,382.79142857142864,-8.367142857142857,2007.0,32.0
0.0,127.60000000000001,144.13,-6.61,-24.98,143.12428571428572,0.2072409090909091,68.66109,-149.37047000000004,832.0,836.0,382.98,-14.882857142857143,2007.0,39.0
0.0,243.13,144.13,-15.72,-30.61,65.36142857142858,0.2136363636363636,68.66109,-149.37047000000004,832.0,836.0,382.98,-23.20357142857143,2007.0,46.0
0.0,390.84000000000003,144.13,-23.41,-37.02,32.005714285714284,0.2200318181818181,68.66109,-149.37047000000004,832.0,836.0,382.98,-30.896428571428572,2007.0,53.0
0.0,559.37,144.13,-23.03,-36.96,31.997142857142855,0.2264272727272727,68.66109,-149.37047000000004,832.0,836.0,382.9057142857142,-30.80071428571429,2007.0,60.0
