prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
36.75,2576.6,0.0,22.42,10.98,1376.0485714285714,,19.55309,-155.31731,1685.0,1742.0,381.5,16.42642857142857,2006.0,187.0
8.479999999999999,3357.05,0.0,23.21,10.67,1368.302857142857,,19.55309,-155.31731,1685.0,1742.0,381.5,16.87071428571429,2006.0,194.0
1.58,3682.26,0.0,22.86,9.53,1262.9671428571426,,19.55309,-155.31731,1685.0,1742.0,381.5,16.305,2006.0,201.0
75.30999999999999,2907.63,0.0,23.49,9.85,1337.6928571428573,,19.55309,-155.31731,1685.0,1742.0,381.5,16.446428571428573,2006.0,208.0
61.61,3104.6200000000003,0.0,24.48,9.91,1354.2542857142855,,19.55309,-155.31731,1685.0,1742.0,381.88571428571424,16.783571428571427,2006.0,215.0
15.73,2902.08,0.0,21.36,9.21,1254.9114285714288,,19.55309,-155.31731,1685.0,1742.0,381.94999999999993,15.355,2006.0,222.0
65.95,2728.6700000000005,0.0,22.68,9.72,1329.2142857142858,,19.55309,-155.31731,1685.0,1742.0,381.94999999999993,16.490000000000002,2006.0,229.0
21.340000000000003,3200.94,0.0,24.0,9.84,1320.6485714285714,,19.55309,-155.31731,1685.0,1742.0,381.94999999999993,16.515714285714285,2006.0,236.0
8.96,3343.7299999999996,0.0,23.43,9.6,1329.8942857142858,,19.55309,-155.31731,1685.0,1742.0,382.0442857142857,16.80357142857143,2006.0,243.0
79.25999999999999,3071.43,0.0,22.72,8.57,1265.5957142857146,,19.55309,-155.31731,1685.0,1742.0,382.17,16.165714285714284,2006.0,250.0
10.48,3153.5299999999997,0.0,21.45,9.84,1270.9214285714284,,19.55309,-155.31731,1685.0,1742.0,382.17,15.589285714285714,2006.0,257.0
52.839999999999996,2540.24,0.0,22.16,8.53,1301.5085714285713,,19.55309,-155.31731,1685.0,1742.0,382.17,15.93357142857143,2006.0,264.0
93.99000000000001,2018.32,0.0,21.39,10.02,1402.0271428571427,,19.55309,-155.31731,1685.0,1742.0,382.22285714285715,15.944285714285714,2006.0,271.0
106.07,2774.75,0.0,21.26,10.02,1339.7528571428572,,19.55309,-155.31731,1685.0,1742.0,382.54,15.959999999999999,2006.0,278.0
10.2,3115.32,0.0,21.58,9.63,1250.67,,19.55309,-155.31731,1685.0,1742.0,382.54,15.602142857142857,2006.0,285.0
143.93,2273.4900000000002,0.0,22.87,10.15,1407.64,,19.55309,-155.31731,1685.0,1742.0,382.54,16.569999999999997,2006.0,292.0
12.340000000000002,2874.7799999999997,0.0,20.64,8.55,1190.587142857143,,19.55309,-155.31731,1685.0,1742.0,382.54,14.484285714285715,2006.0,299.0
102.31,2066.2999999999997,0.0,22.93,10.75,1434.3685714285714,,19.55309,-155.31731,1685.0,1742.0,382.3828571428572,16.547142857142855,2006.0,306.0
18.27,2580.0799999999995,0.0,22.71,10.25,1300.9714285714285,,19.55309,-155.31731,1685.0,1742.0,382.32000000000005,16.330714285714286,2006.0,313.0
