uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"069a1517-c278-456d-87f7-d1b03fa2a8dd","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.4.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",85.00,,,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"353a0c3a-c73c-4c14-b119-4f058f583af0","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.4.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"03337305-1c86-4674-b5f4-66e30724b57f","YELL_009.basePlot.div","D12","YELL",44.970313,-110.501884,"WGS84",20.22,2000.3,0.2,"distributed","evergreenForest","YELL_009","32.2.1","2021-06-22",1,"YELL_009.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","FRVI","Fragaria virginiana Duchesne","species","Rosaceae","N",,,,,,,3.00,"N",,,"0000-0002-3973-0882","0000-0002-3705-3064","OK",,"OK - no known exceptions"
"e6ecd019-d899-4320-85ac-837a6a248594","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.2.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","LUSE4","Lupinus sericeus Pursh","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"6615ed08-6053-4f4c-9385-7dc13c0c663a","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.4.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","FEID","Festuca idahoensis Elmer","species","Poaceae","N",,,,,,,2.00,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"20feb45f-1f4d-48e2-b9a1-1c97115394c9","YELL_009.basePlot.div","D12","YELL",44.970313,-110.501884,"WGS84",20.22,2000.3,0.2,"distributed","evergreenForest","YELL_009","31.1.1","2021-06-22",1,"YELL_009.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",0.50,,,,"0000-0002-3973-0882","0000-0002-3837-840X","OK",,"OK - no known exceptions"
"6fa41895-6737-4c2b-98c9-fd4523482420","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.2.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ARCO5","Arenaria congesta Nutt.","species","Caryophyllaceae","N",,,,,,,0.50,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"eee25d00-a2f0-4749-89bf-606971ac02f1","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","40.1.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"0000-0003-4032-8716","0000-0002-0981-9704","OK",,"OK - no known exceptions"
"5b8198e8-e599-4f9f-aa77-fccfef500d94","YELL_009.basePlot.div","D12","YELL",44.970313,-110.501884,"WGS84",20.22,2000.3,0.2,"distributed","evergreenForest","YELL_009","32.4.1","2021-06-22",1,"YELL_009.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHMU3","Phlox multiflora A. Nelson","species","Polemoniaceae","N",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0002-3705-3064","OK",,"OK - no known exceptions"
"1461f30e-0af3-41dc-8603-39bf209941c1","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.4.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","GEVI2","Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.","species","Geraniaceae","N",,,,,,,3.00,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
