"","experiment","site","latitude","longitude","elevation_m","c3_percent","c4_percent"
"134","nutnet","mitch.au",-22.483584,143.323501,242,10.3791412879065,89.6208587120935
"135","nutnet","msla.us",46.664613,-114.0005227,1169,100,0
"136","nutnet","msum.us",46.86962418,-96.45352319,310.896,50.6428168033927,49.3571831966073
"137","nutnet","mtca.au",-31.782138,117.610853,285,95.8855870592512,4.11441294074882
"138","nutnet","neba.jp",35.23214,137.662489,1230,45.5078802542226,54.4921197457774
"139","nutnet","nilla.au",-36.896,146.007,280,98.7178301741409,1.28216982585915
"140","nutnet","niwo.us",39.993,-105.375,3050,100,0
"141","nutnet","ovor.mn",47.7688333,106.8850333,NA,100,0
"142","nutnet","pape.de",53.086,7.4728,0.5,100,0
"143","nutnet","pich.ec",-0.0769969,-78.9985045,4200,100,0
"144","nutnet","ping.au",-32.496169,116.972947,338,100,0
"145","nutnet","pinj.au",-27.530556,152.923222,38,23.6263736263736,76.3736263736264
"146","nutnet","podo.ec",-4.11,-79.16,3291,100,0
"147","nutnet","potrok.ar",-51.91602778,-70.40744444,150,100,0
"148","nutnet","rook.uk",51.406,-0.644,60,100,0
"149","nutnet","saana.fi",69.0368,20.8433,600,100,0
"150","nutnet","sage.us",39.43,-120.24,1920,100,0
"151","nutnet","saline.us",39.05,-99.1,440,30.5783206807991,69.4216793192009
"152","nutnet","sandhill.us",34.95738,-79.51774,120.75,87.0801503984091,12.9198496015909
"153","nutnet","sava.us",33.343894,-81.650936,71,70.3497103625831,29.6502896374169
"154","nutnet","sedg.us",34.7,-120.0166667,550,100,0
"155","nutnet","sereng.tz",-2.254503,34.512613,1536,12.9116029510396,87.0883970489604
"156","nutnet","sevi.us",34.3592,-106.6905,1600,29.9708207736716,70.0291792263284
"157","nutnet","sgs.us",40.81667,-104.76667,1650,92.1531593406593,7.84684065934066
"158","nutnet","shps.us",44.242989,-112.198391,910,100,0
"159","nutnet","sier.us",39.23550963,-121.2836963,197.195,100,0
"160","nutnet","smith.us",48.20658068,-122.624754,62,100,0
"161","nutnet","spin.us",38.132222,-84.502778,271.3,98.7301587301587,1.26984126984127
"162","nutnet","spv.ar",-42.653747,-64.171606,70,80.7879243577773,19.2120756422227
"163","nutnet","summ.za",-29.81161,30.71573,679,39.8076553173071,60.1923446826929
"164","nutnet","sval.no",78.7,16.4,50,100,0
"165","nutnet","tejon_foot.us",35.0247536,118.6777248,579.12,100,0
"166","nutnet","tejon_north.us",34.97777778,118.5947222,1645.92,100,0
"167","nutnet","tejon_south.us",34.97111111,118.5819444,1706.88,100,0
"168","nutnet","temple.us",31.044,-97.349,184,60.2219409774646,39.7780590225354
"169","nutnet","thth.is",65.90129,-17.08927,380,100,0
"170","nutnet","tmlr.is",65.90129,-17.08927,380,100,0
"171","nutnet","trel.us",40.075,-88.829,200,100,0
"172","nutnet","tyso.us",38.519092,-90.564792,169,50.1742612805992,49.8257387194008
"173","nutnet","ucsc.us",36.867861,-121.739944,140,100,0
"174","nutnet","ufrec.us",27.433333,-81.916667,26,0,100
"175","nutnet","ukul.za",-29.67,30.4,842.5,44.5567159940335,55.4432840059665
"176","nutnet","unc.us",36.00828,-79.020423,141,90.4305673061533,9.56943269384675
"177","nutnet","uwo.ca",43.193131,-81.317807,325,100,0
"178","nutnet","valm.ch",46.631345,10.372252,2320,100,0
"179","nutnet","vargrass.no",70.32797,29.5398,NA,100,0
"180","nutnet","varheath.no",70.32797,29.5398,NA,100,0
"181","nutnet","vass.se",68.416979,18.274396,608,100,0
"182","nutnet","veluwe.nl",52.05972222,5.751666667,40,100,0
"183","nutnet","wupatki.us",33.583333,-111.579722,1665,0,100
"184","nutnet","yarra.au",-33.61,150.73,19,18.2765237113063,81.7234762886937
