uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"6921cdd2-565f-4f7f-a7a1-2b131872f3ba","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","VAUL","Vaccinium uliginosum L.","species","Ericaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"17592b5f-4890-4746-8fd4-aa7a21ff6bb9","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31.1.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","BEGL/BENA","Betula glandulosa/nana","speciesGroup","Betulaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"26ff8918-de31-45c4-8c64-1adc128e4aee","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species","Pinaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"19a2316d-b7a8-444d-97ba-1ac38f13cd4f","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SABE2","Salix bebbiana Sarg.","species","Salicaceae","N","cf. species",,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"9d366664-80b2-47ca-9b13-df07823f4429","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SABE2","Salix bebbiana Sarg.","species","Salicaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"5d0d4ef7-8514-466d-bf15-09da5edbe31f","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","40","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SPST3","Spiraea stevenii (C.K. Schneid.) Rydb.","species","Rosaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0001-7469-7486","OK",,"OK - no known exceptions"
"83e38377-27a7-4411-83c9-b388f7337abd","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","VAOX","Vaccinium oxycoccos L.","species","Ericaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"44b843e4-24ce-4abf-995d-10f80fc0bc67","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","PEFR5","Petasites frigidus (L.) Fr.","species","Asteraceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"775417aa-1520-4623-a515-ffc42525fe6b","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","31.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SPST3","Spiraea stevenii (C.K. Schneid.) Rydb.","species","Rosaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-8223-020X","OK",,"OK - no known exceptions"
"e39227b2-29bb-449d-92f0-ab8485fc9168","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","32.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","species","Poaceae","N","cf. genus",,,,,"Y",,"0000-0001-6603-4076","0000-0001-6603-4076","OK",,"OK - no known exceptions"
"20b223b2-824c-4b68-b128-88ba263a9cf8","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SAPU15","Salix pulchra Cham.","species","Salicaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"3bdd4011-3320-4d80-8c65-850f7130e6a6","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SAPU15","Salix pulchra Cham.","species","Salicaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"d5dcee4e-e22a-491c-8e5d-d771cee50a88","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40.3.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species","Pinaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"5ec9d84a-9874-4427-9480-4bc855768bf1","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","40.3.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species","Pinaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0001-7469-7486","OK",,"OK - no known exceptions"
"8fa50c4c-b941-4643-bdf0-a52182eea8db","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SABE2","Salix bebbiana Sarg.","species","Salicaceae","N","cf. species",,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"b17d7a1e-3b28-45ed-b857-ccb5b1747547","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","41.4.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","RUCH","Rubus chamaemorus L.","species","Rosaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0003-4951-9447","OK",,"OK - no known exceptions"
"405fc8ee-93eb-4c4d-9502-47c35f9748e2","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","31.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","RUCH","Rubus chamaemorus L.","species","Rosaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-8223-020X","OK",,"OK - no known exceptions"
"019d4525-45bd-4092-aa3a-3baba3952fa6","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","31.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","ARLA2","Arctagrostis latifolia (R. Br.) Griseb.","species","Poaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-8223-020X","OK",,"OK - no known exceptions"
"9e3bb2d1-8480-4116-b157-9251a1e96d98","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","32","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","PEFR5","Petasites frigidus (L.) Fr.","species","Asteraceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-9800-6544","OK",,"OK - no known exceptions"
"0c654a19-35c5-4def-98a1-65534daaa4b3","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","EQSY","Equisetum sylvaticum L.","species","Equisetaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"03a392f0-6045-4b08-b97f-f4102463eba5","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","CALAM","Calamagrostis sp.","genus","Poaceae","N","cf. genus",,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"3c98fd75-a703-413d-ad70-c1d76e3b62d0","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","40.1.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SAPU15","Salix pulchra Cham.","species","Salicaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0001-7469-7486","OK",,"OK - no known exceptions"
"dcdffc52-50cc-4481-ba30-f328d7a6258b","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","31.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SASC","Salix scouleriana Barratt ex Hook.","species","Salicaceae","N","cf. species",,,,,"Y",,"0000-0003-4951-9447","0000-0002-8223-020X","OK",,"OK - no known exceptions"
"91fadbcc-fe84-4a3d-8947-c80bae8ceeeb","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SAPU15","Salix pulchra Cham.","species","Salicaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
